0.00000 80.00000
0.10000	79.95095
0.20000	79.80380
0.30000	79.55855
0.40000	79.21520
0.50000	78.77375
0.60000	78.23420
0.70000	77.59655
0.80000	76.86080
0.90000	76.02695
1.00000	75.09500
1.10000	74.06495
1.20000	72.93680
1.30000	71.71055
1.40000	70.38620
1.50000	68.96375
1.60000	67.44320
1.70000	65.82455
1.80000	64.10780
1.90000	62.29295
2.00000	60.38000
2.10000	58.36895
2.20000	56.25980
2.30000	54.05255
2.40000	51.74720
2.50000	49.34375
2.60000	46.84220
2.70000	44.24255
2.80000	41.54480
2.90000	38.74895
3.00000	35.85500
3.10000	32.86295
3.20000	29.77280
3.30000	26.58455
3.40000	23.29820
3.50000	19.91375
3.60000	16.43120
3.70000	12.85055
3.80000	9.17180
3.90000	5.39495
4.00000	1.52000
