13.2	9333.8	8479.2	707.11	577.61
13.3	9404.5	8536.9	707.11	576.63
13.4	9475.2	8594.5	707.11	575.65
13.5	9545.9	8652	707.11	574.67
13.6	9616.7	8709.4	707.11	573.69
13.7	9687.4	8766.7	707.11	572.71
13.8	9758.1	8824	707.11	571.73
13.9	9828.8	8881.1	707.11	570.75
14	9899.5	8938.1	707.11	569.77
14.1	9970.2	8995	707.11	568.79
14.2	10041	9051.9	707.11	567.8
14.3	10112	9108.6	707.11	566.82
14.4	10182	9165.2	707.11	565.84
14.5	10253	9221.8	707.11	564.86
14.6	10324	9278.2	707.11	563.88
14.7	10394	9334.5	707.11	562.9
14.8	10465	9390.8	707.11	561.92
14.9	10536	9446.9	707.11	560.94
15	10607	9503	707.11	559.96
15.1	10677	9558.9	707.11	558.98
15.2	10748	9614.8	707.11	557.99
15.3	10819	9670.5	707.11	557.01
15.4	10889	9726.2	707.11	556.03
15.5	10960	9781.7	707.11	555.05
15.6	11031	9837.2	707.11	554.07
15.7	11102	9892.5	707.11	553.09
15.8	11172	9947.8	707.11	552.11
15.9	11243	10003	707.11	551.13
16	11314	10058	707.11	550.15
16.1	11384	10113	707.11	549.17
16.2	11455	10168	707.11	548.18
16.3	11526	10223	707.11	547.2
16.4	11597	10277	707.11	546.22
16.5	11667	10332	707.11	545.24
16.6	11738	10386	707.11	544.26
16.7	11809	10441	707.11	543.28
16.8	11879	10495	707.11	542.3
16.9	11950	10549	707.11	541.32
17	12021	10603	707.11	540.34
17.1	12092	10657	707.11	539.36
17.2	12162	10711	707.11	538.37
17.3	12233	10765	707.11	537.39
17.4	12304	10819	707.11	536.41
17.5	12374	10872	707.11	535.43
17.6	12445	10926	707.11	534.45
17.7	12516	10979	707.11	533.47
17.8	12587	11032	707.11	532.49
17.9	12657	11086	707.11	531.51
18	12728	11139	707.11	530.53
18.1	12799	11192	707.11	529.55
18.2	12869	11245	707.11	528.56
18.3	12940	11297	707.11	527.58
18.4	13011	11350	707.11	526.6
18.5	13081	11403	707.11	525.62
18.6	13152	11455	707.11	524.64
18.7	13223	11508	707.11	523.66
18.8	13294	11560	707.11	522.68
18.9	13364	11612	707.11	521.7
19	13435	11664	707.11	520.72
19.1	13506	11716	707.11	519.74
19.2	13576	11768	707.11	518.75
19.3	13647	11820	707.11	517.77
19.4	13718	11872	707.11	516.79
19.5	13789	11923	707.11	515.81
19.6	13859	11975	707.11	514.83
19.7	13930	12026	707.11	513.85
19.8	14001	12078	707.11	512.87
19.9	14071	12129	707.11	511.89
